feature,mean_importance
ticket_pc,-0.052060126704576624
name_daniel,-0.03258118165791699
name_august,-0.027466063706353606
name_ellen,-0.026256612240151033
name_richard,-0.02289846989429074
home.dest_philadelphia,-0.016501426931986064
name_victor,-0.01561882351877566
name_karl,-0.012480699804828844
name_elias,-0.011271200432465146
boat,-0.010776616746379442
name_mary,-0.01011533676065246
name_arthur,-0.008828632597161356
name_james,-0.008681164300742839
name_patrick,-0.0085380216017521
home.dest_finland,-0.007964514480411444
ticket_o2,-0.0077549370250520775
home.dest_kent,-0.007554819378825383
name_mr,-0.007081107191174207
name_frank,-0.005314155934200637
name_alice,-0.005246062716665456
ticket_12749,-0.005008057404776989
name_edward,-0.004298311701900759
home.dest_bulgaria,-0.004259122711388485
name_robert,-0.003946458631391892
ticket_34651,-0.003664052751752034
name_harry,-0.0035270591000664763
name_goldsmith,-0.0034190722020806417
ticket_17761,-0.0032522882512983965
home.dest_park,-0.002703679811878379
home.dest_hants,-0.002477718434078646
name_ernest,-0.0019247052576961022
ticket_35273,-0.0018822011435851494
home.dest_lexington,-0.0018822011435851494
ticket_paris,-0.0017839832770778718
home.dest_mb,-0.001498930708512658
home.dest_pa,-0.001423183267307393
name_alfred,-0.0014043928820766994
home.dest_rockford,-0.001293976649026396
name_joseph,-0.0011077024874161178
ticket_soton,-0.001058643952380467
name_george,-0.0009261558051722352
ticket_2123,-0.0008478592631010918
home.dest_haiti,-0.0008478592631010918
home.dest_haverford,-0.000840666248509514
name_maria,-0.0008248349943669852
name_margaret,-0.0007137749674282157
home.dest_francisco,-0.0006750520385042869
name_henry,-0.0006695638293050088
home.dest_guernsey,-0.0005175599183845803
name_alexander,-0.00038036722490224494
home.dest_austria,-0.00031866897787560247
home.dest_cornwall,-0.00021899954566990677
body,-8.1882037533898e-05
home.dest_liverpool,-7.775016175988192e-05
age,-5.351526422150421e-05
name_thomas,-4.0838657141284426e-05
home.dest_york,-2.5568164067113485e-05
ticket_347079,-1.1102230246251565e-16
ticket_3101295,-1.1102230246251565e-16
ticket_250651,-1.1102230246251565e-16
ticket_367230,-1.1102230246251565e-16
ticket_29106,-1.1102230246251565e-16
ticket_220845,-1.1102230246251565e-16
ticket_348124,-1.1102230246251565e-16
ticket_236853,-1.1102230246251565e-16
ticket_347078,-1.1102230246251565e-16
ticket_35281,-1.1102230246251565e-16
ticket_2926,-1.1102230246251565e-16
ticket_349909,-1.1102230246251565e-16
ticket_349213,-1.1102230246251565e-16
ticket_2315,-1.1102230246251565e-16
ticket_349237,-1.1102230246251565e-16
ticket_244367,-1.1102230246251565e-16
ticket_315098,-1.1102230246251565e-16
ticket_3101315,-1.1102230246251565e-16
ticket_36928,-1.1102230246251565e-16
ticket_315095,-1.1102230246251565e-16
ticket_2673,-1.1102230246251565e-16
ticket_315153,-1.1102230246251565e-16
ticket_3337,-1.1102230246251565e-16
ticket_2908,-1.1102230246251565e-16
ticket_33595,-1.1102230246251565e-16
ticket_315093,-1.1102230246251565e-16
ticket_29105,-1.1102230246251565e-16
ticket_2662,-1.1102230246251565e-16
ticket_3101278,-1.1102230246251565e-16
ticket_347054,-1.1102230246251565e-16
ticket_347072,-1.1102230246251565e-16
ticket_347074,-1.1102230246251565e-16
ticket_26360,-1.1102230246251565e-16
ticket_315096,-1.1102230246251565e-16
ticket_2627,-1.1102230246251565e-16
ticket_347077,-1.1102230246251565e-16
ticket_3101279,-1.1102230246251565e-16
ticket_28220,-1.1102230246251565e-16
ticket_370129,-1.1102230246251565e-16
home.dest_madrid,-1.1102230246251565e-16
home.dest_mawr,-1.1102230246251565e-16
home.dest_middlesex,-1.1102230246251565e-16
home.dest_minneapolis,-1.1102230246251565e-16
home.dest_moscow,-1.1102230246251565e-16
home.dest_newark,-1.1102230246251565e-16
home.dest_ns,-1.1102230246251565e-16
home.dest_ohio,-1.1102230246251565e-16
home.dest_portland,-1.1102230246251565e-16
home.dest_providence,-1.1102230246251565e-16
home.dest_ri,-1.1102230246251565e-16
home.dest_rochester,-1.1102230246251565e-16
home.dest_rotherfield,-1.1102230246251565e-16
home.dest_ruotsinphytaa,-1.1102230246251565e-16
home.dest_vancouver,-1.1102230246251565e-16
home.dest_washington,-1.1102230246251565e-16
home.dest_wichita,-1.1102230246251565e-16
home.dest_worcester,-1.1102230246251565e-16
home.dest_wv,-1.1102230246251565e-16
home.dest_ks,-1.1102230246251565e-16
home.dest_indianapolis,-1.1102230246251565e-16
home.dest_india,-1.1102230246251565e-16
home.dest_hill,-1.1102230246251565e-16
ticket_376564,-1.1102230246251565e-16
ticket_376566,-1.1102230246251565e-16
ticket_382652,-1.1102230246251565e-16
ticket_392096,-1.1102230246251565e-16
ticket_4133,-1.1102230246251565e-16
ticket_6607,-1.1102230246251565e-16
ticket_6608,-1.1102230246251565e-16
ticket_aq,-1.1102230246251565e-16
home.dest_aberdeen,-1.1102230246251565e-16
ticket_36973,-1.1102230246251565e-16
home.dest_altdorf,-1.1102230246251565e-16
home.dest_bernardsville,-1.1102230246251565e-16
home.dest_bryn,-1.1102230246251565e-16
home.dest_dc,-1.1102230246251565e-16
home.dest_devon,-1.1102230246251565e-16
home.dest_essex,-1.1102230246251565e-16
home.dest_greenport,-1.1102230246251565e-16
home.dest_halifax,-1.1102230246251565e-16
home.dest_harrow,-1.1102230246251565e-16
home.dest_hartford,-1.1102230246251565e-16
home.dest_bc,-1.1102230246251565e-16
home.dest_belfast,-1.1102230246251565e-16
home.dest_youngstown,-1.1102230246251565e-16
name_percival,-1.1102230246251565e-16
name_smith,-1.1102230246251565e-16
name_rice,-1.1102230246251565e-16
name_carter,-1.1102230246251565e-16
name_herman,-1.1102230246251565e-16
name_paul,-1.1102230246251565e-16
name_palsson,-1.1102230246251565e-16
name_olof,-1.1102230246251565e-16
name_nils,-1.1102230246251565e-16
name_nellie,-1.1102230246251565e-16
name_col,-1.1102230246251565e-16
name_michael,-1.1102230246251565e-16
name_cor,-1.1102230246251565e-16
name_davies,-1.1102230246251565e-16
name_dr,-1.1102230246251565e-16
name_sofia,-1.1102230246251565e-16
name_marion,-1.1102230246251565e-16
name_elsie,-1.1102230246251565e-16
name_emma,-1.1102230246251565e-16
name_lefebre,-1.1102230246251565e-16
name_lamson,-1.1102230246251565e-16
name_kink,-1.1102230246251565e-16
name_jussila,-1.1102230246251565e-16
name_johnston,-1.1102230246251565e-16
name_graham,-1.1102230246251565e-16
name_albert,-1.1102230246251565e-16
ticket_17760,-1.1102230246251565e-16
name_johannes,-1.1102230246251565e-16
name_heilmann,-1.1102230246251565e-16
name_helen,-1.1102230246251565e-16
name_ida,-1.1102230246251565e-16
name_louise,-1.1102230246251565e-16
name_svensson,-1.1102230246251565e-16
name_hocking,-1.1102230246251565e-16
ticket_113505,-1.1102230246251565e-16
ticket_13695,-1.1102230246251565e-16
ticket_13236,-1.1102230246251565e-16
ticket_13050,-1.1102230246251565e-16
ticket_11813,-1.1102230246251565e-16
ticket_17582,-1.1102230246251565e-16
ticket_11769,-1.1102230246251565e-16
ticket_17464,-1.1102230246251565e-16
ticket_113798,-1.1102230246251565e-16
name_bertha,-1.1102230246251565e-16
ticket_113760,-1.1102230246251565e-16
name_cacic,-1.1102230246251565e-16
ticket_17477,-1.1102230246251565e-16
name_white,-1.1102230246251565e-16
ticket_17757,-1.1102230246251565e-16
ticket_112058,-1.1102230246251565e-16
name_carl,-1.1102230246251565e-16
ticket_17603,-1.1102230246251565e-16
ticket_17483,-1.1102230246251565e-16
ticket_17572,-1.1102230246251565e-16
ticket_17593,-1.1102230246251565e-16
ticket_17758,-1.1102230246251565e-16
ticket_111361,-1.1102230246251565e-16
ticket_110152,-1.1102230246251565e-16
ticket_17756,-1.1102230246251565e-16
name_nora,1.3400028023147215e-05
name_hansen,2.68500020375928e-05
home.dest_cooperstown,5.52111272834388e-05
home.dest_detroit,6.896504019830996e-05
name_jr,8.278264482377561e-05
name_goodwin,8.892199808514522e-05
ticket_16966,0.00011743342911920695
ticket_oq,0.00011959733009059281
home.dest_niagara,0.00012024718900331966
ticket_2144,0.00012024718900331966
home.dest_wiltshire,0.00012024718900331966
home.dest_falls,0.00012024718900331966
home.dest_oh,0.0001698001922199932
ticket_17608,0.00017638063783917968
ticket_11767,0.00018511808266168383
home.dest_san,0.00020566806218533796
home.dest_ma,0.00022601166675080276
home.dest_ottawa,0.00024779759642177266
home.dest_pq,0.00029559572044031147
name_john,0.0003263936537904799
home.dest_england,0.0003440893802474143
home.dest_montreal,0.0003451433433619533
home.dest_st,0.00038294610533162743
name_philip,0.00043113393769977915
