feature,mean_importance
name_peter,-0.0008951304044122171
name_karl,-0.000742096803923123
name_elizabeth,-0.0002795796845693671
name_ellen,-0.0001645730910069504
home.dest_guernsey,-0.00015958701461725732
name_alfred,-0.00013836684472738614
name_john,-0.00012058554955161615
ticket_pc,-9.642333986236152e-05
home.dest_england,-6.186680823190571e-05
name_thomas,-5.9159556373572506e-05
home.dest_cooperstown,-3.92158303103296e-05
name_daniel,-3.6612089786824956e-05
home.dest_france,-3.328288736403895e-05
name_joseph,-1.721888240808489e-05
home.dest_new,-4.599617133815848e-06
ticket_376566,-2.4980018054066023e-17
ticket_14879,-2.2204460492503132e-17
ticket_pp,-2.2204460492503132e-17
home.dest_ia,-2.2204460492503132e-17
name_alice,-2.2204460492503132e-17
ticket_36928,-2.2204460492503132e-17
name_rice,-2.2204460492503132e-17
ticket_26360,-2.2204460492503132e-17
ticket_28220,-1.9428902930940238e-17
ticket_315095,-1.9428902930940238e-17
body,-1.9428902930940238e-17
home.dest_providence,-1.9428902930940238e-17
name_anna,-1.9428902930940238e-17
ticket_3101315,-1.6653345369377347e-17
ticket_349213,-1.6653345369377347e-17
ticket_35273,-1.6653345369377347e-17
name_nellie,-1.6653345369377347e-17
name_miss,-1.6653345369377347e-17
home.dest_halifax,-1.6653345369377347e-17
name_marion,-1.6653345369377347e-17
home.dest_ns,-1.6653345369377347e-17
home.dest_plymouth,-1.6653345369377347e-17
ticket_3101279,-1.6653345369377347e-17
home.dest_youngstown,-1.6653345369377347e-17
home.dest_madrid,-1.3877787807814457e-17
name_edvin,-1.3877787807814457e-17
name_philip,-1.3877787807814457e-17
ticket_347088,-1.3877787807814457e-17
name_jussila,-1.3877787807814457e-17
ticket_347079,-1.3877787807814457e-17
ticket_347078,-1.3877787807814457e-17
name_kink,-1.3877787807814457e-17
ticket_3337,-1.3877787807814457e-17
ticket_315096,-1.3877787807814457e-17
ticket_349909,-1.3877787807814457e-17
name_leonard,-1.3877787807814457e-17
ticket_2673,-1.3877787807814457e-17
home.dest_london,-1.3877787807814457e-17
name_mary,-1.3877787807814457e-17
ticket_17483,-1.3877787807814457e-17
ticket_17477,-1.3877787807814457e-17
ticket_113798,-1.3877787807814457e-17
home.dest_switzerland,-1.3877787807814457e-17
ticket_112058,-1.3877787807814457e-17
name_samuel,-1.3877787807814457e-17
name_margaret,-1.3877787807814457e-17
ticket_363291,-1.3877787807814457e-17
ticket_348124,-1.3877787807814457e-17
ticket_370129,-1.3877787807814457e-17
name_emma,-1.3877787807814457e-17
home.dest_falls,-1.3877787807814457e-17
home.dest_niagara,-1.3877787807814457e-17
name_goldsmith,-1.3877787807814457e-17
name_andersson,-1.3877787807814457e-17
home.dest_ct,-1.3877787807814457e-17
name_ada,-1.3877787807814457e-17
home.dest_chesterville,-1.3877787807814457e-17
home.dest_bryn,-1.3877787807814457e-17
name_paul,-1.3877787807814457e-17
name_ida,-1.3877787807814457e-17
ticket_6608,-1.3877787807814457e-17
home.dest_brooklyn,-1.3877787807814457e-17
ticket_347054,-1.1102230246251566e-17
