feature,shap_importance
boat,0.36779677940218414
name_mr,0.040450333811603914
sex,0.026538525569686194
passenger_id,0.019458726813365645
fare,0.007388328630448678
name_mrs,0.0041540007895345624
pclass,0.004017265185338976
embarked,0.0037028233772491946
name_peter,0.0019693197693141304
home.dest_akron,0.0018774903989776225
name_william,0.0014972997085969
ticket_pc,0.0013989224713759252
home.dest_mn,0.000812563861488525
name_arthur,0.0007651641296998015
name_henry,0.000738455356847632
ticket_17608,0.0007226782313907817
name_carter,0.0006806663045371264
home.dest_haverford,0.0006027035039727864
home.dest_winnipeg,0.000564139967828984
name_ellen,0.0005123862204726269
cabin,0.00043171428031526995
ticket_29106,0.00040140702706710924
sibsp,0.00039672948145465426
name_john,0.00033568191480067087
home.dest_pa,0.0003142596807488322
name_thomas,0.00027823840926638943
age,0.00027518784849525505
home.dest_nj,0.00027437217968070174
name_karl,0.00027215989451588504
ticket_3101278,0.00026721935678046153
name_elizabeth,0.000250872491792161
ticket_13050,0.00024919190205327843
name_rev,0.000249026532929315
home.dest_ruotsinphytaa,0.00024783805234356975
home.dest_cooperstown,0.0002406646662232068
ticket_113760,0.00020755706360500484
name_joseph,0.00019317181522377082
home.dest_finland,0.00017263667281395482
name_alfred,0.0001674286741375768
name_master,0.00016183467951804366
name_florence,0.00015679949395034552
home.dest_guernsey,0.00012586526761341373
home.dest_england,0.00011686985535070065
home.dest_chicago,0.00011088851680440774
home.dest_mawr,0.00011030539725929743
home.dest_oh,9.89971496426314e-05
ticket_111361,9.540455752817624e-05
name_benjamin,8.599092003247238e-05
ticket_17757,6.430000547215519e-05
ticket_29105,6.378805500457965e-05
home.dest_bryn,6.329492431260407e-05
home.dest_france,6.018166042017854e-05
name_dr,5.6274505433286875e-05
name_daniel,5.131593579969753e-05
name_edith,4.574202763313257e-05
name_hocking,3.2718995313910914e-05
name_albert,3.2046939985233e-05
name_olof,2.995657769331384e-05
ticket_250651,2.867229537007733e-05
home.dest_new,2.2817190281045452e-05
name_carl,1.4815319513487596e-05
ticket_ca,0.0
ticket_348124,0.0
ticket_349213,0.0
ticket_4133,0.0
home.dest_ct,0.0
ticket_349237,0.0
ticket_349909,0.0
home.dest_chesterville,0.0
home.dest_cornwall,0.0
home.dest_detroit,0.0
home.dest_dc,0.0
ticket_392096,0.0
ticket_6607,0.0
ticket_347088,0.0
ticket_347082,0.0
home.dest_devon,0.0
home.dest_east,0.0
ticket_382652,0.0
ticket_376566,0.0
home.dest_essex,0.0
ticket_347080,0.0
home.dest_ca,0.0
home.dest_bernardsville,0.0
home.dest_bulgaria,0.0
ticket_367230,0.0
ticket_line,0.0
ticket_o2,0.0
ticket_oq,0.0
ticket_370129,0.0
ticket_paris,0.0
ticket_36973,0.0
ticket_36928,0.0
ticket_pp,0.0
ticket_sc,0.0
ticket_soton,0.0
ticket_aq,0.0
home.dest_brooklyn,0.0
ticket_ston,0.0
ticket_363291,0.0
ticket_35281,0.0
ticket_6608,0.0
home.dest_aberdeen,0.0
home.dest_altdorf,0.0
home.dest_austria,0.0
home.dest_bc,0.0
home.dest_belfast,0.0
ticket_376564,0.0
ticket_35273,0.0
home.dest_ireland,0.0
home.dest_falls,0.0
home.dest_sea,0.0
home.dest_ohio,0.0
home.dest_ottawa,0.0
home.dest_paris,0.0
home.dest_park,0.0
home.dest_philadelphia,0.0
home.dest_plymouth,0.0
home.dest_portland,0.0
home.dest_pq,0.0
home.dest_providence,0.0
home.dest_ri,0.0
home.dest_rochester,0.0
home.dest_rockford,0.0
home.dest_rotherfield,0.0
home.dest_san,0.0
home.dest_somerset,0.0
home.dest_francisco,0.0
home.dest_st,0.0
home.dest_stockholm,0.0
home.dest_sweden,0.0
home.dest_switzerland,0.0
home.dest_syria,0.0
home.dest_vancouver,0.0
home.dest_washington,0.0
home.dest_west,0.0
home.dest_wi,0.0
home.dest_wichita,0.0
home.dest_wiltshire,0.0
home.dest_worcester,0.0
home.dest_wv,0.0
home.dest_york,0.0
home.dest_ny,0.0
home.dest_ns,0.0
home.dest_norway,0.0
home.dest_niagara,0.0
home.dest_greenport,0.0
home.dest_haiti,0.0
home.dest_halifax,0.0
home.dest_hants,0.0
home.dest_harrow,0.0
home.dest_hartford,0.0
home.dest_hill,0.0
home.dest_ia,0.0
home.dest_il,0.0
home.dest_india,0.0
home.dest_indianapolis,0.0
ticket_347078,0.0
home.dest_island,0.0
home.dest_kent,0.0
home.dest_ks,0.0
home.dest_lexington,0.0
home.dest_liverpool,0.0
home.dest_london,0.0
home.dest_ma,0.0
home.dest_madrid,0.0
home.dest_mb,0.0
home.dest_mi,0.0
home.dest_middlesex,0.0
home.dest_milwaukee,0.0
home.dest_minneapolis,0.0
home.dest_montreal,0.0
home.dest_moscow,0.0
home.dest_mt,0.0
home.dest_newark,0.0
ticket_347079,0.0
ticket_28220,0.0
ticket_347077,0.0
name_lefebre,0.0
name_helen,0.0
name_herman,0.0
name_ida,0.0
name_james,0.0
name_jean,0.0
name_johan,0.0
name_johannes,0.0
name_johnston,0.0
name_jr,0.0
name_jussila,0.0
name_kate,0.0
name_kelly,0.0
name_kink,0.0
name_lamson,0.0
name_leonard,0.0
name_harry,0.0
name_louise,0.0
name_margaret,0.0
name_maria,0.0
name_marie,0.0
name_marion,0.0
name_martin,0.0
name_mary,0.0
name_michael,0.0
name_miss,0.0
name_nellie,0.0
name_nils,0.0
name_nora,0.0
name_palsson,0.0
name_patrick,0.0
name_heilmann,0.0
name_harris,0.0
ticket_347074,0.0
name_col,0.0
parch,0.0
body,0.0
name_ada,0.0
name_alexander,0.0
name_alice,0.0
name_allison,0.0
name_andersson,0.0
name_anna,0.0
name_august,0.0
name_bertha,0.0
name_bertram,0.0
name_cacic,0.0
name_catherine,0.0
name_charles,0.0
name_cor,0.0
name_hansen,0.0
name_davies,0.0
name_edvin,0.0
name_edward,0.0
name_elias,0.0
name_elsie,0.0
name_emily,0.0
name_emma,0.0
name_ernest,0.0
name_frank,0.0
name_frederick,0.0
name_george,0.0
name_goldsmith,0.0
name_goodwin,0.0
name_graham,0.0
name_paul,0.0
name_percival,0.0
name_philip,0.0
ticket_2908,0.0
ticket_17760,0.0
ticket_17761,0.0
ticket_19950,0.0
ticket_2123,0.0
ticket_2144,0.0
ticket_220845,0.0
ticket_2315,0.0
ticket_2343,0.0
ticket_236853,0.0
ticket_244367,0.0
ticket_2627,0.0
ticket_26360,0.0
ticket_2662,0.0
ticket_2673,0.0
ticket_2926,0.0
name_rice,0.0
ticket_3101279,0.0
ticket_3101295,0.0
ticket_3101315,0.0
ticket_315093,0.0
ticket_315095,0.0
ticket_315096,0.0
ticket_315098,0.0
ticket_315153,0.0
ticket_3337,0.0
ticket_33595,0.0
ticket_33638,0.0
ticket_34651,0.0
ticket_347054,0.0
ticket_347072,0.0
ticket_17758,0.0
ticket_17756,0.0
ticket_17603,0.0
ticket_17593,0.0
name_richard,0.0
name_robert,0.0
name_sage,0.0
name_samuel,0.0
name_smith,0.0
name_sofia,0.0
name_svensson,0.0
name_victor,0.0
name_white,0.0
ticket_110152,0.0
ticket_112058,0.0
ticket_113503,0.0
ticket_113505,0.0
ticket_113781,0.0
ticket_113798,0.0
ticket_11767,0.0
ticket_11769,0.0
ticket_11813,0.0
ticket_12749,0.0
ticket_13236,0.0
ticket_13695,0.0
ticket_14879,0.0
ticket_1601,0.0
ticket_16966,0.0
ticket_17464,0.0
ticket_17477,0.0
ticket_17483,0.0
ticket_17572,0.0
ticket_17582,0.0
home.dest_youngstown,0.0
