iter	RMSE
0	79077.11074
1	77067.23142
2	75318.05372
3	73425.90101
4	71684.51063
5	69888.36297
6	68459.20599
7	66969.03797
8	65374.21375
9	63891.90364
10	62572.65043
11	61252.70777
12	59962.97173
13	58743.3141
14	57629.63261
15	56433.81906
16	55445.76894
17	54479.32176
18	53503.61494
19	52413.43294
20	51440.55551
21	50497.42835
22	49571.5663
23	48617.35783
24	47781.75083
25	47099.80365
26	46385.28819
27	45601.56473
28	44742.10566
29	43984.89469
30	43360.6889
31	42690.27311
32	42050.6247
33	41439.93427
34	40775.68341
35	40229.61356
36	39709.82909
37	39120.73856
38	38660.60934
39	38206.77139
40	37833.17489
41	37312.17387
42	36805.7254
43	36376.91705
44	35983.91033
45	35639.53082
46	35222.61017
47	34794.81533
48	34459.1148
49	34088.45999
50	33749.91916
51	33365.06012
52	33061.60381
53	32702.77047
54	32354.5537
55	31949.0064
56	31590.75501
57	31218.37015
58	30909.31641
59	30628.31729
60	30375.84988
61	30130.81047
62	29852.51674
63	29633.50136
64	29446.63338
65	29217.56806
66	28960.21303
67	28775.95679
68	28569.381
69	28380.31069
70	28159.07505
71	27944.88538
72	27762.21989
73	27563.01575
74	27394.54843
75	27193.39987
76	27033.87463
77	26860.62346
78	26709.50331
79	26490.64936
80	26286.98378
81	26150.97166
82	25944.04642
83	25720.43814
84	25535.02615
85	25395.49924
86	25246.20712
87	25056.54672
88	24901.47805
89	24732.49951
90	24587.55651
91	24436.04445
92	24296.60835
93	24167.60255
94	24029.3095
95	23966.96015
96	23844.45535
97	23692.0196
98	23553.87543
99	23453.52061
100	23299.09876
101	23189.63768
102	23153.88825
103	23043.36957
104	22975.41447
105	22852.43293
106	22800.95412
107	22701.32063
108	22635.0464
109	22550.11186
110	22449.35251
111	22344.21152
112	22249.2852
113	22137.11032
114	22028.50726
115	21967.52339
116	21849.35093
117	21751.27519
118	21697.25458
119	21629.67192
120	21537.99512
121	21448.14986
122	21364.34826
123	21296.57588
124	21209.30824
125	21138.93031
126	21067.75831
127	21003.42344
128	20911.62106
129	20885.66477
130	20780.66188
131	20707.01443
132	20614.39786
133	20568.60168
134	20525.62539
135	20452.35417
136	20368.85101
137	20282.85457
138	20197.63663
139	20127.3628
140	20049.56195
141	19973.77061
142	19948.3204
143	19878.08391
144	19846.64778
145	19770.40381
146	19720.95878
147	19637.27355
148	19577.42443
149	19533.36022
150	19454.49968
151	19410.57296
152	19353.7551
153	19282.82086
154	19227.89329
155	19165.27663
156	19100.28423
157	19050.35133
158	19025.16687
159	19001.23122
160	18945.02606
161	18886.14306
162	18824.3998
163	18738.13584
164	18688.67318
165	18663.56935
166	18637.30689
167	18609.87119
168	18527.92953
169	18485.52492
170	18432.98853
171	18395.57694
172	18360.39209
173	18284.24957
174	18264.26498
175	18203.14172
176	18186.15072
177	18136.15834
178	18067.65935
179	18012.97396
180	17966.27415
181	17939.83071
182	17902.65081
183	17845.68174
184	17778.03246
185	17756.45923
186	17711.89074
187	17685.69904
188	17632.17289
189	17589.83931
190	17535.5025
191	17469.5938
192	17447.64457
193	17391.59832
194	17356.93991
195	17312.16747
196	17274.22319
197	17243.91937
198	17175.73739
199	17154.34149
200	17089.90987
201	17016.82165
202	16953.28251
203	16882.85091
204	16817.77774
205	16748.04864
206	16724.52162
207	16700.13375
208	16649.09785
209	16611.2925
210	16571.48306
211	16509.25505
212	16455.69039
213	16395.80313
214	16346.50785
215	16331.35074
216	16275.25851
217	16245.59374
218	16197.97262
219	16151.81381
220	16128.35329
221	16113.64827
222	16064.61771
223	16010.85495
224	15964.95703
225	15943.29512
226	15883.19265
227	15833.53127
228	15795.50768
229	15775.20634
230	15764.10647
231	15727.85224
232	15712.90936
233	15683.85776
234	15664.63479
235	15650.4034
236	15606.0535
237	15569.56022
238	15556.14267
239	15517.38627
240	15503.92529
241	15453.94846
242	15411.88515
243	15373.88003
244	15342.49804
245	15299.37277
246	15286.6271
247	15274.2137
248	15251.00921
249	15238.75024
250	15188.5262
251	15149.27435
252	15107.3954
253	15064.29631
254	15050.85739
255	15012.11379
256	14970.77916
257	14937.28277
258	14925.1212
259	14882.92261
260	14852.84891
261	14841.90572
262	14827.41355
263	14814.19142
264	14784.01187
265	14752.46057
266	14741.08671
267	14731.12222
268	14721.41674
269	14687.48251
270	14662.13994
271	14617.71108
272	14608.62275
273	14596.89171
274	14559.54066
275	14550.73541
276	14514.97881
277	14505.74687
278	14482.50486
279	14447.2951
280	14440.70032
281	14429.66268
282	14395.30127
283	14341.58914
284	14311.58546
285	14302.61061
286	14278.14191
287	14235.25106
288	14208.69649
289	14181.93091
290	14140.22736
291	14134.61984
292	14100.45803
293	14059.17772
294	14024.03107
295	13991.12938
296	13951.94877
297	13918.11596
298	13876.95483
299	13871.19998
300	13852.64541
301	13820.60574
302	13777.82909
303	13740.8828
304	13730.17465
305	13725.0329
306	13687.26176
307	13650.12337
308	13644.74319
309	13606.23624
310	13575.00402
311	13560.55977
312	13513.65022
313	13484.21244
314	13479.41556
315	13460.99796
316	13432.72901
317	13393.05653
318	13367.74036
319	13351.58703
320	13311.36535
321	13293.43294
322	13248.73824
323	13204.82539
324	13191.63363
325	13183.94471
326	13151.76649
327	13109.54233
328	13102.07625
329	13063.48868
330	13035.63688
331	13015.6372
332	12986.62996
333	12969.51774
334	12934.53995
335	12929.9653
336	12898.96572
337	12856.95016
338	12852.49336
339	12838.63995
340	12803.95286
341	12765.78671
342	12748.61461
343	12713.59654
344	12709.35595
345	12680.11077
346	12636.60267
347	12595.82329
348	12591.66846
349	12556.29755
350	12523.17399
351	12517.73495
352	12500.65379
353	12496.66158
354	12480.7155
355	12469.50012
356	12426.2758
357	12402.84477
358	12375.21759
359	12342.01076
360	12300.00427
361	12273.07597
362	12244.29303
363	12222.92317
364	12204.09039
365	12184.13019
366	12153.79516
367	12134.51999
368	12113.47339
369	12074.62334
370	12051.03341
371	12021.43131
372	12003.8146
373	11975.30555
374	11939.6608
375	11917.36845
376	11893.20798
377	11872.2502
378	11852.70439
379	11827.77971
380	11803.83485
381	11791.61814
382	11788.21282
383	11784.88374
384	11770.52276
385	11730.42159
386	11708.40591
387	11688.78533
388	11664.71112
389	11634.37954
390	11622.73187
391	11593.27554
392	11568.88489
393	11535.46236
394	11523.32627
395	11492.53763
396	11458.41081
397	11437.09725
398	11416.06273
399	11391.80436
400	11370.94013
401	11348.68195
402	11318.61157
403	11293.10877
404	11274.36032
405	11270.32778
406	11267.02974
407	11233.73996
408	11230.74408
409	11212.91442
410	11186.36
411	11162.35286
412	11129.92378
413	11110.83479
414	11082.36754
415	11055.27047
416	11049.97326
417	11032.11351
418	11014.75855
419	10976.47906
420	10960.25249
421	10917.37176
422	10890.56167
423	10886.18487
424	10860.58508
425	10834.91051
426	10824.73105
427	10802.31598
428	10784.96217
429	10756.38611
430	10723.05105
431	10698.62086
432	10663.45728
433	10660.5677
434	10644.04436
435	10611.13643
436	10577.07988
437	10572.88584
438	10541.50459
439	10523.33467
440	10506.2052
441	10486.39642
442	10468.98904
443	10439.54961
444	10427.74405
445	10404.61825
446	10389.3435
447	10369.48989
448	10352.14236
449	10333.38953
450	10329.84123
451	10298.45626
452	10279.47535
453	10247.42182
454	10239.28027
455	10235.9199
456	10214.04287
457	10199.51158
458	10196.95181
459	10171.39645
460	10147.65395
461	10118.81556
462	10115.03859
463	10096.05827
464	10092.39249
465	10078.06905
466	10050.19696
467	10022.76033
468	9992.636332
469	9974.459476
470	9958.197538
471	9939.073199
472	9925.879357
473	9902.967131
474	9891.386621
475	9887.696061
476	9859.138479
477	9833.778216
478	9820.33788
479	9810.509999
480	9783.49797
481	9758.764863
482	9755.114019
483	9729.782688
484	9715.451738
485	9710.122604
486	9689.898085
487	9670.041388
488	9646.610554
489	9623.265773
490	9610.702778
491	9607.985316
492	9597.245981
493	9589.500821
494	9568.937536
495	9550.651338
496	9531.450755
497	9512.03812
498	9493.207339
499	9480.428426
500	9468.014369
501	9446.111614
502	9442.38444
503	9433.283633
504	9424.196352
505	9405.331631
506	9400.204885
507	9379.3344
508	9364.751058
509	9343.060833
510	9325.777067
511	9310.063461
512	9284.633779
513	9262.288408
514	9242.196976
515	9219.280915
516	9210.70124
517	9190.274049
518	9164.308905
519	9151.203758
520	9148.192133
521	9132.099072
522	9120.118747
523	9102.179476
524	9087.197555
525	9071.425718
526	9052.647422
527	9044.603362
528	9040.128072
529	9022.515579
530	9019.293195
531	9005.356137
532	8993.672422
533	8975.281269
534	8947.097315
535	8934.829292
536	8915.569742
537	8904.729153
538	8888.810764
539	8870.739258
540	8858.338276
541	8840.296807
542	8819.810283
543	8792.581936
544	8779.34614
545	8755.678387
546	8739.433752
547	8722.531035
548	8718.615822
549	8704.532328
550	8692.099
551	8689.034074
552	8671.383445
553	8651.556626
554	8649.584964
555	8646.46615
556	8644.55661
557	8622.125709
558	8599.943038
559	8592.361835
560	8574.17928
561	8562.869008
562	8560.60472
563	8550.502765
564	8529.144484
565	8520.306307
566	8502.930024
567	8494.910062
568	8470.098164
569	8462.828132
570	8452.57817
571	8435.323529
572	8420.615484
573	8408.424604
574	8403.130771
575	8391.932643
576	8375.599388
577	8373.509935
578	8357.908773
579	8344.961534
580	8326.448726
581	8318.485435
582	8316.88778
583	8293.272399
584	8291.252861
585	8283.798149
586	8272.291496
587	8270.685087
588	8255.392085
589	8240.888768
590	8216.143412
591	8205.152313
592	8192.514832
593	8175.702407
594	8165.995381
595	8146.068163
596	8128.175827
597	8115.169305
598	8104.162677
599	8102.29488
600	8093.76325
601	8078.840745
602	8066.390002
603	8064.17424
604	8061.340753
605	8047.307429
606	8037.221897
607	8025.696267
608	8016.379859
609	7999.91491
610	7979.17823
611	7967.408293
612	7954.521925
613	7935.600514
614	7920.104007
615	7907.396672
616	7886.057917
617	7874.453369
618	7859.045187
619	7845.177478
620	7828.552745
621	7822.577283
622	7817.422492
623	7815.957663
624	7804.115971
625	7785.459027
626	7770.884757
627	7756.126152
628	7746.036752
629	7729.083168
630	7718.354582
631	7701.036712
632	7690.996578
633	7680.803629
634	7672.81246
635	7671.133604
636	7659.266843
637	7645.069386
638	7630.592653
639	7611.279428
640	7598.421303
641	7583.982184
642	7564.263979
643	7553.59273
644	7538.868398
645	7526.153022
646	7524.826742
647	7509.827389
648	7491.51987
649	7484.359343
650	7483.07495
651	7481.820708
652	7466.28412
653	7449.064806
654	7442.103398
655	7429.451068
656	7428.242369
657	7410.123489
658	7408.192564
659	7396.385754
660	7387.273611
661	7369.58921
662	7357.805246
663	7346.807804
664	7345.668455
665	7332.928083
666	7325.930625
667	7308.720499
668	7288.262276
669	7275.694765
670	7256.30918
671	7246.526313
672	7237.42494
673	7235.623387
674	7221.57529
675	7214.534151
676	7207.783095
677	7192.196426
678	7184.209295
679	7174.435553
680	7161.65361
681	7146.754412
682	7131.913072
683	7130.83137
684	7128.425671
685	7113.023731
686	7111.931982
687	7102.985003
688	7094.428765
689	7085.736102
690	7074.652468
691	7059.678562
692	7045.194778
693	7036.460099
694	7035.447935
695	7027.015696
696	7019.584459
697	7000.972959
698	6983.005605
699	6971.184451
700	6970.21147
701	6962.472465
702	6949.398895
703	6940.302796
704	6933.150783
705	6927.009992
706	6912.376154
707	6896.736588
708	6884.379856
709	6872.242903
710	6864.296094
711	6857.963896
712	6845.23827
713	6839.46662
714	6834.468676
715	6830.924858
716	6830.013892
717	6812.742662
718	6811.264082
719	6805.118046
720	6791.790902
721	6789.877737
722	6781.030337
723	6773.8009
724	6762.086734
725	6751.90992
726	6739.923618
727	6732.28238
728	6720.53736
729	6710.884723
730	6703.999379
731	6694.006501
732	6682.92402
733	6672.938524
734	6659.067235
735	6658.238045
736	6649.231563
737	6641.306432
738	6633.73905
739	6620.585436
740	6611.934383
741	6608.715899
742	6596.301836
743	6584.35899
744	6578.006739
745	6568.370442
746	6552.128712
747	6538.850623
748	6530.76929
749	6518.656317
750	6505.882623
751	6491.495132
752	6478.099885
753	6470.204349
754	6459.315685
755	6452.123644
756	6441.518496
757	6430.976182
758	6423.600197
759	6413.173981
760	6393.102784
761	6387.475199
762	6386.69144
763	6377.421562
764	6364.339747
765	6356.58107
766	6351.667324
767	6342.184152
768	6331.937497
769	6321.124167
770	6316.492533
771	6304.688111
772	6296.797577
773	6289.592541
774	6278.639762
775	6266.915997
776	6256.852635
777	6255.833467
778	6242.318763
779	6230.198638
780	6212.407464
781	6196.416873
782	6195.467912
783	6189.920593
784	6179.689953
785	6178.148721
786	6169.395548
787	6158.894055
788	6147.99595
789	6138.36422
790	6127.87081
791	6121.799599
792	6110.227001
793	6095.994923
794	6085.539453
795	6076.807233
796	6068.880409
797	6059.290665
798	6052.165998
799	6044.512176
800	6030.220927
801	6022.410628
802	6012.7942
803	6004.33895
804	5990.760014
805	5980.46965
806	5970.639154
807	5964.428149
808	5963.713818
809	5951.972384
810	5945.541168
811	5934.806262
812	5926.371972
813	5920.391754
814	5919.59711
815	5907.23252
816	5897.829453
817	5897.21399
818	5890.801641
819	5884.437501
820	5866.505805
821	5855.58223
822	5847.315325
823	5846.595716
824	5834.28954
825	5828.69388
826	5821.607669
827	5815.38008
828	5801.304822
829	5792.764046
830	5779.878522
831	5772.042728
832	5771.330892
833	5770.616811
834	5761.530189
835	5758.806779
836	5747.457508
837	5737.928504
838	5727.725408
839	5721.08581
840	5704.545141
841	5699.830376
842	5699.216167
843	5690.753486
844	5681.392346
845	5680.639243
846	5679.005352
847	5668.388729
848	5666.114182
849	5651.160233
850	5640.521486
851	5634.170345
852	5628.011087
853	5627.321811
854	5625.316448
855	5617.046663
856	5609.960985
857	5607.94089
858	5607.341722
859	5600.900087
860	5588.973638
861	5579.42564
862	5574.391883
863	5567.085981
864	5561.941838
865	5557.659937
866	5554.657922
867	5545.769585
868	5541.319578
869	5531.568177
870	5519.888251
871	5509.338351
872	5499.926347
873	5488.750904
874	5482.80743
875	5475.850765
876	5467.010942
877	5466.491308
878	5456.780977
879	5454.321832
880	5451.21706
881	5440.098241
882	5432.463225
883	5426.678797
884	5423.822124
885	5414.901511
886	5409.303075
887	5403.46194
888	5395.344764
889	5381.792315
890	5378.209829
891	5366.787859
892	5359.190652
893	5358.596194
894	5351.959246
895	5346.452073
896	5343.563242
897	5331.774671
898	5329.600693
899	5322.105903
900	5311.158312
901	5306.111144
902	5299.54053
903	5298.886551
904	5296.277581
905	5290.808837
906	5284.925177
907	5275.519253
908	5267.899213
909	5267.262958
910	5255.06745
911	5246.505814
912	5241.158299
913	5238.867565
914	5236.097629
915	5229.069729
916	5223.680349
917	5214.548114
918	5210.448206
919	5206.494501
920	5195.627791
921	5183.91502
922	5177.816997
923	5177.210091
924	5169.056557
925	5162.461169
926	5160.980401
927	5143.88726
928	5138.028181
929	5129.847789
930	5126.167399
931	5118.609769
932	5112.934193
933	5100.769167
934	5092.876819
935	5081.323542
936	5066.864452
937	5060.032062
938	5059.459372
939	5059.021535
940	5049.226649
941	5040.980146
942	5034.568214
943	5025.903234
944	5020.98112
945	5010.444644
946	5005.437928
947	4993.810071
948	4975.544863
949	4962.845795
950	4951.058325
951	4946.343707
952	4939.065878
953	4935.003743
954	4934.598425
955	4929.832285
956	4920.782907
957	4920.283022
958	4919.763734
959	4908.535871
960	4904.279783
961	4889.208332
962	4883.239887
963	4879.769422
964	4871.981069
965	4868.26328
966	4859.789576
967	4852.269257
968	4847.420351
969	4839.332472
970	4835.757951
971	4833.337892
972	4830.677123
973	4826.591698
974	4817.98943
975	4810.176634
976	4809.681671
977	4801.295557
978	4790.624487
979	4775.42886
980	4774.958596
981	4769.66246
982	4769.16735
983	4760.083154
984	4752.765656
985	4745.079019
986	4736.081662
987	4729.162098
988	4721.989945
989	4712.321076
990	4704.528537
991	4695.974653
992	4684.331381
993	4680.358759
994	4671.342321
995	4656.199182
996	4647.802089
997	4638.629966
998	4633.368733
999	4626.786289
