iter	Passed	Remaining
0	54	54072
1	74	37204
2	77	25678
3	79	19867
4	152	30307
5	157	26086
6	163	23124
7	165	20536
8	167	18409
9	319	31679
10	344	31016
11	347	28632
12	390	29615
13	392	27628
14	393	25842
15	457	28108
16	459	26556
17	503	27490
18	508	26277
19	510	25036
20	535	24980
21	538	23940
22	574	24419
23	577	23468
24	595	23233
25	604	22649
26	609	21963
27	661	22978
28	663	22220
29	730	23629
30	764	23903
31	799	24188
32	834	24466
33	944	26840
34	1050	28968
35	1056	28295
36	1104	28752
37	1107	28036
38	1148	28305
39	1190	28562
40	1285	30079
41	1357	30955
42	1361	30311
43	1364	29651
44	1468	31164
45	1471	30518
46	1474	29895
47	1505	29852
48	1515	29405
49	1520	28891
50	1583	29470
51	1623	29598
52	1627	29073
53	1662	29127
54	1665	28613
55	1696	28597
56	1749	28946
57	1769	28739
58	1953	31152
59	2006	31441
60	2009	30926
61	2014	30472
62	2050	30494
63	2084	30491
64	2108	30328
65	2113	29905
66	2158	30055
67	2184	29947
68	2228	30068
69	2270	30162
70	2272	29733
71	2338	30135
72	2341	29737
73	2380	29784
74	2417	29813
75	2439	29658
76	2579	30918
77	2589	30603
78	2594	30243
79	2596	29855
80	2597	29472
81	2734	30610
82	2752	30410
83	2770	30211
84	2886	31074
85	2896	30786
86	2899	30428
87	2955	30632
88	3013	30849
89	3039	30728
90	3091	30876
91	3255	32132
92	3257	31770
93	3261	31434
94	3324	31671
95	3327	31333
96	3330	31002
97	3396	31257
98	3399	30937
99	3421	30794
100	3427	30509
101	3431	30210
102	3452	30067
103	3455	29767
104	3527	30064
105	3532	29790
106	3565	29757
107	3572	29502
108	3575	29223
109	3727	30155
110	3729	29868
111	3731	29583
112	3736	29328
113	3752	29166
114	3756	28906
115	3759	28649
116	3796	28651
117	3799	28397
118	3801	28146
119	3862	28326
120	3865	28078
121	3866	27825
122	3892	27754
123	3893	27509
124	3921	27452
125	3925	27229
126	3967	27271
127	4076	27770
128	4189	28284
129	4267	28561
130	4271	28336
131	4372	28755
132	4375	28521
133	4477	28933
134	4479	28699
135	4581	29107
136	4594	28942
137	4617	28840
138	4656	28841
139	4659	28620
140	4661	28400
141	4766	28799
142	4856	29102
143	4868	28941
144	4873	28734
145	4879	28540
146	4883	28335
147	4922	28337
148	5061	28907
149	5067	28714
150	5165	29043
151	5211	29073
152	5214	28864
153	5217	28663
154	5256	28657
155	5260	28459
156	5263	28262
157	5266	28064
158	5349	28295
159	5353	28105
160	5387	28075
161	5390	27886
162	5428	27873
163	5459	27832
164	5484	27755
165	5500	27635
166	5546	27664
167	5556	27518
168	5563	27356
169	5595	27319
170	5626	27278
171	5661	27255
172	5678	27142
173	5689	27010
174	5747	27095
175	5755	26948
176	5797	26955
177	5840	26970
178	5851	26837
