"Objekt","Bezeichnung","Z_P_FAMILIE_NEU","Z_P_BAUREIHE_NEU","Z_P_FUNKTION","CH000694","Z_P_SCHALTUNG","Z_P_LEDSYSTEM_1","Z_P_LEDSYSTEM_2","Z_P_LEDSYSTEM_3","Z_P_ANZ_STROMKR","Z_P_LMS","Z_P_USA","Z_P_SCHUTZKLASSE","Z_P_ELEKTRISCHE_SPANNUNG_DC","Z_P_LEISTUNGSREDUZIERER","Z_P_BEMESSUNGSSPANNUNG","Z_P_BEMESSUNGSFREQUENZ","Z_P_LEISTUNGSR_PROZENT","Z_P_ALZ_SCHALTER","Pruefplan"
"10228986","Creavo M84 LW19-03 30-840 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10228988","Creavo M84 LW19-03 42-830 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10228990","Creavo M84 LW19-03 42-840 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10228991","Creavo M84 LW16-03 42-840 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229029","Creavo M57 LW19-03 42-830 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229032","Creavo M57 LW16-03 42-840 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229073","Creavo M59 LW19-03 53-840 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229074","Creavo M59 LW16-03 53-840 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229086","Creavo M59 LW19-03 62-830 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229093","Creavo M37 LW19-03 42-830 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229095","Creavo M37 LW19-03 42-840 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229096","Creavo M37 LW16-03 30-840 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229115","Creavo M39 LW19-03 53-830 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229118","Creavo M39 LW16-03 38-840 ET 01","444","761","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229137","Creavo D LW19-03 30-830 ET 01","444","763","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229139","Creavo D LW19-03 30-840 ET 01","444","763","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10229141","Creavo D LW19-03 42-830 ET 01","444","763","","","40","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000002-01 XPE 1ET"
"10239735","Creavo D2-L LW19-03 30-830 ET 01","444","763","","","40","01","YY","YY","01","","","01","","NE","","04","","YY","60000002-01 XPE 1ET"
"10239741","Creavo D2-L LW19-03 42-830 ET 01","444","763","","","40","01","YY","YY","01","","","01","","NE","","04","","YY","60000002-01 XPE 1ET"
"10239761","Creavo D3-L LW19-03 38-840 ET 01","444","763","","","40","01","YY","YY","01","","","01","","NE","","04","","YY","60000002-01 XPE 1ET"
"10239765","Creavo D3-L LW19-03 53-830 ET 01","444","763","","","40","01","YY","YY","01","","","01","","NE","","04","","YY","60000002-01 XPE 1ET"
"10239783","Creavo D4 LW19-03 70-830 ET 01","444","763","","","40","","","","","","","","","","","","","YY","60000002-01 XPE 1ET"
"10239789","Creavo D4 LW19-03 50-840 ET 01","444","763","","","40","","","","","","","","","","","","","YY","60000002-01 XPE 1ET"
"10239804","Creavo D5 LW19-03 78-840 ET 01","444","763","","","40","","","","","","","","","","","","","YY","60000002-01 XPE 1ET"
"10239821","Creavo H2-L LW16-03 46-840 ET 01","444","764","","","40","01","YY","YY","01","","","01","","NE","","04","","YY","60000002-01 XPE 1ET"
"10239823","Creavo H2-L LW19-03 46-830 ET 01","444","764","","","40","01","YY","YY","01","","","01","","NE","","04","","YY","60000002-01 XPE 1ET"
"10239825","Creavo H2-L LW19-03 46-840 ET 01","444","764","","","40","01","YY","YY","01","","","01","","NE","","04","","YY","60000002-01 XPE 1ET"
"10239838","Creavo H2-L LW16-03 71-840 ET 01","444","764","","","40","01","YY","YY","01","","","01","","NE","","04","","YY","60000002-01 XPE 1ET"
"10239857","Creavo H3-L LW19-03 58-830 ET 01","444","764","","","40","01","YY","YY","01","","","01","","NE","","04","","YY","60000002-01 XPE 1ET"
"10239874","Creavo H3-L LW19-03 89-830 ET 01","444","764","","","40","01","YY","YY","01","","","01","","NE","","04","","YY","60000002-01 XPE 1ET"
"10229006","Creavo M84 LW19-03 50-840 ETDD 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10229047","Creavo M57 LW19-03 50-840 ETDD 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10229089","Creavo M59 LW19-03 62-840 ETDD 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10229111","Creavo M37 LW19-03 50-840 ETDD 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10229133","Creavo M39 LW19-03 62-840 ETDD 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10226106","Creavo M73-TS LW19-03 30-830 ETDD 01","444","761","YY","","51","01","YY","YY","01","YY","","02","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10226128","Creavo M84-TS LW19-03 42-840 ETDD 01","444","761","YY","","51","01","YY","YY","01","YY","","02","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10226146","Creavo M46-TS LW19-03 50-830 ETDD 01","444","761","YY","","51","01","YY","YY","01","YY","","02","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10226153","Creavo M57-TS LW19-03 42-930 ETDD 01","444","761","YY","","51","01","YY","YY","01","YY","","02","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10229018","Creavo M46-TS LWW-03 42-840 ETDD 01","444","761","YY","","51","01","YY","YY","01","YY","","02","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10228994","Creavo M84 LW19-03 42-840 ETDD EB3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10229099","Creavo M37 LW19-03 42-840 ETDD EB3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10228968","Creavo M73-TS LW19-03 42-840 ETDD EB3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10229063","Creavo M59-TS LW19-03 53-840 ETDD EB3 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10228997","Creavo M84 LW19-03 42-840 ETDD X7 01","444","761","","","51","01","YY","YY","01","","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10229080","Creavo M59 LW19-03 53-840 ETDD X7 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
"10229124","Creavo M39 LW19-03 53-840 ETDD X7 01","444","761","","","51","01","YY","YY","01","YY","","01","","NE","220 - 240 V","04","","YY","60000027-01 XPE 1ETDD"
