,AutoML_solution,task,trainings_id,dataset_name,dataset_size_in_mb,dataset_rows,dataset_cols,missing_values,duplicated_rows,duplicated_cols,outliers,runtime,runtime_limit,failed,:balanced_accuracy,:rooted_mean_squared_error,relative_:balanced_accuracy,relative_:rooted_mean_squared_error
0,:autokeras,:tabular_classification,6586f02b9de6496c97bfdf18,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,1.1107833333333335,3,0,0.5,,0.7552795259568692,
1,:lama,:tabular_classification,6586f02b9de6496c97bfdf18,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,2.347933333333333,3,0,0.6073361605759884,,0.9174171349125949,
2,:evalml,:tabular_classification,6586f02b9de6496c97bfdf18,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,2.8869833333333332,3,0,0.538629891147597,,0.8136322577043141,
3,:gama,:tabular_classification,6586f02b9de6496c97bfdf18,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,2.98305,3,0,0.5305286658904211,,0.801394878560495,
4,:autogluon,:tabular_classification,6586f02b9de6496c97bfdf18,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,3.4840333333333335,3,0,0.5306906092102592,,0.8016395035081734,
5,:pycaret,:tabular_classification,6586f02b9de6496c97bfdf18,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,3.539916666666667,3,0,0.662006558918099,,1.0,
6,:flaml,:tabular_classification,6586f02b9de6496c97bfdf18,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,4.0594,3,0,0.5,,0.7552795259568692,
7,:tpot,:tabular_classification,6586f02b9de6496c97bfdf18,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,4.195633333333333,3,0,0.5352389091258692,,0.8085099791165166,
8,:mljar,:tabular_classification,6586f02b9de6496c97bfdf18,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,11.617700000000001,3,0,0.0,,0.0,
9,:autokeras,:tabular_classification,6586f5359de6496c97bfdf22,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,1.9602833333333334,6,0,0.5,,0.7346665155682155,
10,:evalml,:tabular_classification,6586f5359de6496c97bfdf22,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,2.766016666666667,6,0,0.538629891147597,,0.7914266906205846,
11,:lama,:tabular_classification,6586f5359de6496c97bfdf22,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,4.62545,6,0,0.6034593485947465,,0.8866827538383351,
12,:gama,:tabular_classification,6586f5359de6496c97bfdf22,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,5.70535,6,0,0.5367201136594276,,0.7886205914750966,
13,:autogluon,:tabular_classification,6586f5359de6496c97bfdf22,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,6.555750000000001,6,0,0.5442308226421544,,0.7996563242706701,
14,:pycaret,:tabular_classification,6586f5359de6496c97bfdf22,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,7.409833333333333,6,0,0.6584536335765332,,0.9674876732858044,
15,:flaml,:tabular_classification,6586f5359de6496c97bfdf22,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,8.16365,6,0,0.5,,0.7346665155682155,
16,:tpot,:tabular_classification,6586f5359de6496c97bfdf22,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,11.23095,6,0,0.6805809022251182,,1.0,
17,:mljar,:tabular_classification,6586f5359de6496c97bfdf22,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,14.7721,6,0,0.0,,0.0,
18,:autokeras,:tabular_classification,6587084d9de6496c97bfdf36,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,2.505666666666667,12,0,0.5,,0.7346665155682155,
19,:evalml,:tabular_classification,6587084d9de6496c97bfdf36,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,2.82895,12,0,0.538629891147597,,0.7914266906205846,
20,:pycaret,:tabular_classification,6587084d9de6496c97bfdf36,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,5.956566666666666,12,0,0.5936340038242551,,0.8722460502247484,
21,:lama,:tabular_classification,6587084d9de6496c97bfdf36,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,8.599733333333335,12,0,0.601897172401269,,0.8843873967568037,
22,:gama,:tabular_classification,6587084d9de6496c97bfdf36,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,11.015183333333333,12,0,0.588947475243823,,0.8653599789801546,
23,:autogluon,:tabular_classification,6587084d9de6496c97bfdf36,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,12.401366666666666,12,0,0.5396015510666253,,0.7928543826346443,
24,:mljar,:tabular_classification,6587084d9de6496c97bfdf36,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,13.429266666666667,12,0,0.0,,0.0,
25,:flaml,:tabular_classification,6587084d9de6496c97bfdf36,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,13.6928,12,0,0.5,,0.7346665155682155,
26,:tpot,:tabular_classification,6587084d9de6496c97bfdf36,Amazon_employee_access.csv,2.726043,32769,10,0.0,0.0,0.0,0.02,15.470983333333333,12,0,0.6805809022251182,,1.0,
