,AutoML_solution,task,trainings_id,dataset_name,dataset_size_in_mb,absolute_balanced_accuracy,relative_balanced_accuracy,absolute_rmse,relative_rmse,dataset_rows,dataset_cols,runtime,type,missing_values,categorical_features,numerical_features,runtime_limit,failed
0,:lama,:tabular_classification,64dc93a87e4287dd07d42107,breast-w.csv,0.033493,0.5,0.516612072999532,9.0,9.0,699,10,0.65025,Binary classification,16,1,9,60,0
1,:pycaret,:tabular_classification,64dc93a87e4287dd07d42107,breast-w.csv,0.033493,0.9365942028985508,0.9677117454375292,9.0,9.0,699,10,1.0129,Binary classification,16,1,9,60,0
2,:evalml,:tabular_classification,64dc93a87e4287dd07d42107,breast-w.csv,0.033493,0.926177536231884,0.9569489939167056,9.0,9.0,699,10,1.67605,Binary classification,16,1,9,60,0
3,:autogluon,:tabular_classification,64dc93a87e4287dd07d42107,breast-w.csv,0.033493,0.9628623188405797,0.9948525970987365,9.0,9.0,699,10,1.7657333333333334,Binary classification,16,1,9,60,0
4,:autokeras,:tabular_classification,64dc93a87e4287dd07d42107,breast-w.csv,0.033493,0.9515398550724637,0.9831539541413196,9.0,9.0,699,10,4.556166666666667,Binary classification,16,1,9,60,0
5,:gama,:tabular_classification,64dc93a87e4287dd07d42107,breast-w.csv,0.033493,0.9628623188405797,0.9948525970987365,9.0,9.0,699,10,54.321083333333334,Binary classification,16,1,9,60,0
6,:mljar,:tabular_classification,64dc93a87e4287dd07d42107,breast-w.csv,0.033493,0.9678442028985508,1.0,9.0,9.0,699,10,54.60771666666667,Binary classification,16,1,9,60,0
7,:tpot,:tabular_classification,64dc93a87e4287dd07d42107,breast-w.csv,0.033493,0.9415760869565217,0.9728591483387926,9.0,9.0,699,10,60.2327,Binary classification,16,1,9,60,0
8,:flaml,:tabular_classification,64dc93a87e4287dd07d42107,breast-w.csv,0.033493,0.9420289855072463,0.9733270940570893,9.0,9.0,699,10,60.32325,Binary classification,16,1,9,60,0
9,:lama,:tabular_classification,64dca22c7e4287dd07d42112,credit-approval.csv,0.049408,0.8595912284436875,1.0,9.0,9.0,690,16,1.0791833333333334,Binary classification,67,10,6,60,0
10,:pycaret,:tabular_classification,64dca22c7e4287dd07d42112,credit-approval.csv,0.049408,0.8418139237811368,0.9793188854489163,9.0,9.0,690,16,2.089183333333333,Binary classification,67,10,6,60,0
11,:evalml,:tabular_classification,64dca22c7e4287dd07d42112,credit-approval.csv,0.049408,0.8268043431977858,0.9618575851393188,9.0,9.0,690,16,2.253016666666667,Binary classification,67,10,6,60,0
12,:autogluon,:tabular_classification,64dca22c7e4287dd07d42112,credit-approval.csv,0.049408,0.8466042154566744,0.984891640866873,9.0,9.0,690,16,2.669566666666667,Binary classification,67,10,6,60,0
13,:autokeras,:tabular_classification,64dca22c7e4287dd07d42112,credit-approval.csv,0.049408,0.7765595060677029,0.903405572755418,9.0,9.0,690,16,4.872566666666667,Binary classification,67,10,6,60,0
14,:gama,:tabular_classification,64dca22c7e4287dd07d42112,credit-approval.csv,0.049408,0.8483074302746434,0.9868730650154798,9.0,9.0,690,16,54.192800000000005,Binary classification,67,10,6,60,0
15,:tpot,:tabular_classification,64dca22c7e4287dd07d42112,credit-approval.csv,0.049408,0.8449010006387055,0.9829102167182662,9.0,9.0,690,16,60.22006666666667,Binary classification,67,10,6,60,0
16,:flaml,:tabular_classification,64dca22c7e4287dd07d42112,credit-approval.csv,0.049408,0.8466042154566744,0.984891640866873,9.0,9.0,690,16,60.58076666666667,Binary classification,67,10,6,60,0
